genre,playlist_name,playlist_id,track_name,artists,track_id,album,album_release,popularity,duration_ms
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,My Chick Bad,"Ludacris, Nicki Minaj",3bMNprrp2JDKZsGbiXpsJl,Battle Of The Sexes (Deluxe),2010-01-01,65,216933
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Yeah! (feat. Lil Jon & Ludacris),"USHER, Lil Jon, Ludacris",5rb9QrpfcKFHM1EUbSIurX,Confessions (Expanded Edition),2004-03-23,86,250373
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,International Love (feat. Chris Brown),"Pitbull, Chris Brown",62zFEHfAYl5kdHYOivj4BC,Planet Pit (Deluxe Version),2011-06-17,81,227280
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",3ZFTkvIE7kyPt6Nu3PEa7V,"Oral Fixation, Vol. 2 (Expanded Edition)",2005-11-28,31,218093
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Single Ladies (Put a Ring on It),Beyoncé,557un1HgwYMuqfWGSTmnxw,I AM...SASHA FIERCE - Platinum Edition,2008,69,192586
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Imma Be,Black Eyed Peas,16sbugRbf9xEKlekuQ7Whm,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],2009-01-01,66,257560
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Disturbia,Rihanna,30VrBsh1STRBoIrhQOAwzK,Good Girl Gone Bad: Reloaded,2007-03-31,68,238573
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,Only Girl (In The World),Rihanna,2ENexcMEMsYk0rVJigVD3i,Loud,2010-01-01,86,235493
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,On The Floor,"Jennifer Lopez, Pitbull",3C0nOe05EIt1390bVABLyN,Love?,2011-04-29,82,284866
c,clubbing like it's the 2000's,4TvVpoyxF9kmnu1GLikiQp,What's My Name?,"Rihanna, Drake",6DkXLzBQT7cwXmTyzAB1DJ,Loud,2010-01-01,77,263173
